Experiment_ID,Cell_Line,Concentration,Exposure_Time,ROS,LDH,Apoptosis,Cell_Viability,Toxicity_Score,IC50,Safe_Range
EXP-ZNO-01244,A549,58.81,48,76.87,69.47,53.45,30.03,82.56,29.81,0 - 13.42
EXP-ZNO-01245,CHO,80.95,48,66.88,58.91,50.67,19.67,62.98,43.15,0 - 19.42
EXP-ZNO-01246,HeLa,57.99,12,34.73,30.54,33.11,53.66,39.66,57.36,0 - 25.81
EXP-ZNO-01247,MCF-7,180.05,12,91.38,86.61,82.41,6.03,113.27,44.61,0 - 20.07
EXP-ZNO-01248,MCF-7,166.49,24,95.76,86.84,76.28,9.31,111.21,35.0,0 - 15.75
EXP-ZNO-01249,HeLa,50.81,48,54.0,54.3,44.79,32.95,59.19,35.31,0 - 15.89
EXP-ZNO-01250,NIH-3T3,97.42,24,44.61,40.29,36.9,34.95,42.42,65.0,0 - 29.25
EXP-ZNO-01251,HEK293,120.24,72,68.13,56.91,46.61,15.47,60.71,40.85,0 - 18.38
EXP-ZNO-01252,Jurkat,121.72,12,97.19,84.13,82.52,10.33,116.05,38.24,0 - 17.21
EXP-ZNO-01253,HepG2,148.03,48,87.07,69.33,65.58,13.04,85.19,32.95,0 - 14.83
EXP-ZNO-01254,MCF-7,183.14,72,100.0,88.82,82.26,5.0,116.45,23.83,0 - 10.72
EXP-ZNO-01255,NIH-3T3,142.22,48,54.18,51.91,51.87,17.39,54.17,51.0,0 - 22.95
EXP-ZNO-01256,CHO,13.59,24,2.6,3.58,6.26,93.84,4.57,55.0,0 - 24.75
EXP-ZNO-01257,PC12,168.47,72,96.84,83.57,75.06,5.0,104.26,27.23,0 - 12.25
EXP-ZNO-01258,NIH-3T3,108.99,24,41.35,40.79,30.25,39.55,39.32,65.0,0 - 29.25
EXP-ZNO-01259,HepG2,192.57,24,85.44,74.29,69.22,6.02,89.88,42.0,0 - 18.9
EXP-ZNO-01260,Caco-2,5.46,72,0.44,0.0,0.0,98.18,0.95,34.04,0 - 15.32
EXP-ZNO-01261,HeLa,122.66,24,76.11,68.52,59.61,11.91,78.49,45.0,0 - 20.25
EXP-ZNO-01262,PC12,133.04,48,84.67,74.07,70.75,11.81,95.16,31.38,0 - 14.12
EXP-ZNO-01263,A549,52.87,12,64.08,59.84,52.15,39.91,71.59,48.43,0 - 21.79
EXP-ZNO-01264,MCF-7,2.73,72,9.34,4.77,10.03,90.74,10.9,23.83,0 - 10.72
EXP-ZNO-01265,HEK293,109.92,48,47.43,55.72,50.89,16.96,56.95,47.08,0 - 21.18
EXP-ZNO-01266,NIH-3T3,189.44,24,63.37,48.91,47.16,17.64,54.61,65.0,0 - 29.25
EXP-ZNO-01267,Caco-2,23.37,24,19.58,18.06,15.74,77.4,19.27,50.0,0 - 22.5
EXP-ZNO-01268,CHO,36.06,12,26.4,15.52,17.21,70.98,22.23,70.1,0 - 31.55
EXP-ZNO-01269,HepG2,160.26,48,85.82,70.79,71.44,9.15,88.12,32.95,0 - 14.83
EXP-ZNO-01270,PC12,192.89,6,74.35,68.83,64.57,19.57,86.36,64.98,0 - 29.24
EXP-ZNO-01271,PC12,3.98,12,0.0,4.7,2.05,96.09,3.41,50.98,0 - 22.94
EXP-ZNO-01272,HepG2,159.75,12,72.1,69.79,58.8,18.64,78.11,53.53,0 - 24.09
EXP-ZNO-01273,HEK293,40.27,12,24.6,19.18,14.52,74.81,19.18,76.47,0 - 34.41
EXP-ZNO-01274,HEK293,163.6,6,48.53,46.55,44.4,33.39,48.16,97.47,0 - 43.86
EXP-ZNO-01275,HepG2,25.78,48,37.84,29.37,27.64,62.11,36.82,32.95,0 - 14.83
EXP-ZNO-01276,Jurkat,167.99,24,100.0,93.32,94.51,5.0,124.38,30.0,0 - 13.5
EXP-ZNO-01277,HEK293,24.37,12,10.75,7.08,10.86,84.11,10.87,76.47,0 - 34.41
EXP-ZNO-01278,A549,58.53,12,52.19,47.57,40.69,45.74,60.97,48.43,0 - 21.79
EXP-ZNO-01279,HepG2,16.38,12,0.0,8.47,0.0,95.73,3.58,53.53,0 - 24.09
EXP-ZNO-01280,Jurkat,93.15,72,100.0,91.17,82.54,9.27,118.85,20.42,0 - 9.19
EXP-ZNO-01281,HEK293,20.23,72,20.39,18.99,21.78,72.42,20.39,40.85,0 - 18.38
EXP-ZNO-01282,Caco-2,151.74,6,54.91,46.59,43.6,30.11,56.48,81.23,0 - 36.55
EXP-ZNO-01283,Jurkat,86.44,72,91.52,75.92,72.59,16.55,107.0,20.42,0 - 9.19
EXP-ZNO-01284,Caco-2,64.19,48,57.08,53.67,50.85,25.65,61.06,39.23,0 - 17.65
EXP-ZNO-01285,Caco-2,42.87,12,29.4,20.31,20.06,65.64,27.66,63.73,0 - 28.68
EXP-ZNO-01286,HeLa,78.13,48,68.32,53.66,47.72,26.88,65.43,35.31,0 - 15.89
EXP-ZNO-01287,HEK293,80.48,24,39.75,36.63,37.33,44.2,39.9,60.0,0 - 27.0
EXP-ZNO-01288,PC12,109.63,6,65.69,62.44,54.96,30.43,75.36,64.98,0 - 29.24
EXP-ZNO-01289,HEK293,176.73,12,57.78,51.68,51.8,18.32,57.73,76.47,0 - 34.41
EXP-ZNO-01290,A549,148.14,72,100.0,87.02,77.57,5.0,110.63,25.87,0 - 11.64
EXP-ZNO-01291,HeLa,137.33,12,68.76,63.24,58.68,17.03,73.53,57.36,0 - 25.81
EXP-ZNO-01292,HeLa,194.29,6,69.3,73.56,60.77,13.94,77.04,73.1,0 - 32.9
EXP-ZNO-01293,CHO,90.68,12,43.73,40.68,42.74,40.34,45.98,70.1,0 - 31.55
EXP-ZNO-01294,Jurkat,93.03,72,100.0,87.56,80.48,7.78,118.71,20.42,0 - 9.19
EXP-ZNO-01295,HEK293,83.11,72,61.75,48.79,43.66,21.86,55.49,40.85,0 - 18.38
EXP-ZNO-01296,NIH-3T3,104.35,12,47.71,31.05,36.68,37.99,40.57,82.85,0 - 37.28
EXP-ZNO-01297,A549,100.58,48,89.87,85.04,71.49,12.17,102.44,29.81,0 - 13.42
EXP-ZNO-01298,HEK293,135.9,24,52.41,42.08,40.38,27.1,50.41,60.0,0 - 27.0
EXP-ZNO-01299,HEK293,53.53,48,43.14,36.52,33.46,41.83,40.98,47.08,0 - 21.18
EXP-ZNO-01300,MCF-7,75.82,24,87.53,75.93,67.55,22.02,97.52,35.0,0 - 15.75
EXP-ZNO-01301,PC12,159.89,72,91.61,83.13,80.91,5.45,103.73,27.23,0 - 12.25
EXP-ZNO-01302,Caco-2,55.17,6,35.83,22.65,18.78,63.6,30.0,81.23,0 - 36.55
EXP-ZNO-01303,MCF-7,15.98,12,23.36,19.58,15.87,81.93,23.78,44.61,0 - 20.07
EXP-ZNO-01304,CHO,20.48,12,3.72,12.99,3.15,86.22,9.05,70.1,0 - 31.55
EXP-ZNO-01305,MCF-7,177.99,72,100.0,87.55,84.99,5.0,116.73,23.83,0 - 10.72
EXP-ZNO-01306,PC12,139.31,24,85.09,74.86,79.19,5.65,100.4,40.0,0 - 18.0
EXP-ZNO-01307,MCF-7,47.74,12,55.24,51.22,45.87,47.81,64.63,44.61,0 - 20.07
EXP-ZNO-01308,Caco-2,146.93,48,70.06,64.54,60.21,9.13,74.25,39.23,0 - 17.65
EXP-ZNO-01309,NIH-3T3,93.89,48,43.66,47.23,44.21,28.38,46.61,51.0,0 - 22.95
EXP-ZNO-01310,CHO,120.0,6,54.6,40.73,35.49,37.4,48.29,89.35,0 - 40.21
EXP-ZNO-01311,Caco-2,139.23,12,75.54,56.0,47.31,20.17,66.99,63.73,0 - 28.68
EXP-ZNO-01312,NIH-3T3,149.15,24,60.66,50.29,41.96,14.75,54.88,65.0,0 - 29.25
EXP-ZNO-01313,NIH-3T3,141.86,24,47.76,49.29,40.67,23.88,48.88,65.0,0 - 29.25
EXP-ZNO-01314,HeLa,198.89,24,75.95,64.59,59.03,13.52,76.97,45.0,0 - 20.25
EXP-ZNO-01315,NIH-3T3,116.83,6,37.28,35.2,31.65,45.33,35.85,105.59,0 - 47.52
EXP-ZNO-01316,Jurkat,51.77,24,79.03,68.63,65.32,26.95,94.15,30.0,0 - 13.5
EXP-ZNO-01317,NIH-3T3,77.13,12,32.49,31.5,31.23,49.12,33.08,82.85,0 - 37.28
EXP-ZNO-01318,Jurkat,169.33,72,100.0,86.55,91.49,6.69,121.37,20.42,0 - 9.19
EXP-ZNO-01319,PC12,26.95,12,24.02,20.87,25.26,69.89,30.8,50.98,0 - 22.94
EXP-ZNO-01320,CHO,140.61,48,72.77,63.33,55.57,12.95,68.32,43.15,0 - 19.42
EXP-ZNO-01321,CHO,44.71,6,18.23,17.41,18.5,77.35,18.32,89.35,0 - 40.21
EXP-ZNO-01322,NIH-3T3,58.45,72,39.28,40.19,32.32,41.14,38.53,44.25,0 - 19.91
EXP-ZNO-01323,PC12,183.95,12,90.05,76.09,69.65,13.59,95.54,50.98,0 - 22.94
EXP-ZNO-01324,HepG2,196.42,6,80.72,69.14,67.93,13.89,83.75,68.23,0 - 30.7
EXP-ZNO-01325,CHO,158.69,48,74.83,67.1,67.56,5.0,74.4,43.15,0 - 19.42
EXP-ZNO-01326,CHO,16.72,24,10.11,3.73,5.88,85.9,9.46,55.0,0 - 24.75
EXP-ZNO-01327,CHO,165.21,48,72.55,68.2,58.15,5.0,72.87,43.15,0 - 19.42
EXP-ZNO-01328,Caco-2,170.01,24,61.07,50.84,56.3,20.38,64.69,50.0,0 - 22.5
EXP-ZNO-01329,A549,100.09,6,68.45,64.23,56.36,30.06,80.1,61.73,0 - 27.78
EXP-ZNO-01330,Caco-2,151.39,24,78.04,62.75,59.18,10.86,74.54,50.0,0 - 22.5
EXP-ZNO-01331,NIH-3T3,41.03,24,19.6,17.66,17.06,69.38,19.55,65.0,0 - 29.25
EXP-ZNO-01332,CHO,138.12,12,59.16,50.48,44.99,23.3,58.05,70.1,0 - 31.55
EXP-ZNO-01333,NIH-3T3,103.82,48,50.62,46.96,40.65,24.22,48.92,51.0,0 - 22.95
EXP-ZNO-01334,HEK293,165.34,48,62.07,63.99,55.21,9.15,64.36,47.08,0 - 21.18
EXP-ZNO-01335,MCF-7,4.44,72,5.14,1.82,2.1,96.13,4.44,23.83,0 - 10.72
EXP-ZNO-01336,NIH-3T3,27.87,72,20.8,18.45,20.76,70.57,19.81,44.25,0 - 19.91
EXP-ZNO-01337,CHO,89.04,6,39.9,39.54,33.18,46.2,41.21,89.35,0 - 40.21
EXP-ZNO-01338,MCF-7,183.45,6,99.93,85.66,83.36,5.0,116.05,56.86,0 - 25.59
EXP-ZNO-01339,NIH-3T3,118.06,72,54.89,52.37,45.94,17.03,53.77,44.25,0 - 19.91
EXP-ZNO-01340,HepG2,16.47,48,16.05,19.48,15.79,78.73,20.09,32.95,0 - 14.83
EXP-ZNO-01341,PC12,105.41,12,74.85,63.37,57.72,25.22,81.1,50.98,0 - 22.94
EXP-ZNO-01342,Caco-2,182.04,24,73.72,66.48,62.29,11.7,74.3,50.0,0 - 22.5
EXP-ZNO-01343,NIH-3T3,59.65,72,42.86,37.09,32.35,36.54,40.57,44.25,0 - 19.91
EXP-ZNO-01344,HeLa,191.64,6,65.87,57.86,58.52,19.26,71.0,73.1,0 - 32.9
EXP-ZNO-01345,Caco-2,128.69,12,63.99,55.18,49.16,21.1,64.5,63.73,0 - 28.68
EXP-ZNO-01346,CHO,104.88,12,52.19,35.33,42.08,34.44,49.35,70.1,0 - 31.55
EXP-ZNO-01347,HeLa,25.21,48,31.94,31.67,26.84,64.15,33.09,35.31,0 - 15.89
EXP-ZNO-01348,MCF-7,66.61,24,72.28,66.87,65.23,24.53,90.01,35.0,0 - 15.75
EXP-ZNO-01349,A549,81.16,6,59.22,53.88,51.5,40.3,69.0,61.73,0 - 27.78
EXP-ZNO-01350,Caco-2,10.82,6,0.0,6.99,3.54,100.0,1.5,81.23,0 - 36.55
EXP-ZNO-01351,Jurkat,27.84,24,45.92,40.58,40.46,56.76,55.85,30.0,0 - 13.5
EXP-ZNO-01352,NIH-3T3,52.76,12,17.84,14.59,19.28,71.02,18.51,82.85,0 - 37.28
EXP-ZNO-01353,NIH-3T3,37.6,12,19.03,12.04,17.32,76.62,15.92,82.85,0 - 37.28
EXP-ZNO-01354,HEK293,91.04,24,47.0,43.16,37.79,35.35,45.79,60.0,0 - 27.0
EXP-ZNO-01355,NIH-3T3,134.22,24,52.63,46.44,50.1,17.08,53.17,65.0,0 - 29.25
EXP-ZNO-01356,PC12,20.97,72,42.69,34.21,32.38,60.71,43.9,27.23,0 - 12.25
EXP-ZNO-01357,NIH-3T3,95.02,72,50.33,40.5,39.51,23.37,48.31,44.25,0 - 19.91
EXP-ZNO-01358,Caco-2,43.44,24,27.14,33.0,30.38,56.36,34.92,50.0,0 - 22.5
EXP-ZNO-01359,PC12,125.82,12,79.45,60.53,62.86,23.43,83.59,50.98,0 - 22.94
EXP-ZNO-01360,Jurkat,73.33,12,83.76,72.44,76.15,24.43,99.87,38.24,0 - 17.21
EXP-ZNO-01361,CHO,169.41,48,75.55,61.32,58.67,7.88,71.25,43.15,0 - 19.42
EXP-ZNO-01362,Caco-2,12.27,48,7.43,6.71,7.76,90.6,7.94,39.23,0 - 17.65
EXP-ZNO-01363,NIH-3T3,195.1,48,62.49,47.59,52.45,12.41,57.04,51.0,0 - 22.95
EXP-ZNO-01364,PC12,25.98,72,56.04,46.96,40.43,45.04,59.57,27.23,0 - 12.25
EXP-ZNO-01365,HeLa,76.15,24,65.46,53.85,48.04,26.08,65.34,45.0,0 - 20.25
EXP-ZNO-01366,A549,64.85,48,77.71,69.13,59.87,29.37,84.25,29.81,0 - 13.42
EXP-ZNO-01367,HEK293,187.23,12,57.01,53.36,51.69,16.41,58.61,76.47,0 - 34.41
EXP-ZNO-01368,HeLa,107.25,72,80.72,68.74,56.65,11.18,79.36,30.64,0 - 13.79
EXP-ZNO-01369,Caco-2,198.05,48,77.76,61.42,56.49,11.71,73.51,39.23,0 - 17.65
EXP-ZNO-01370,PC12,158.36,12,88.42,72.43,65.55,17.36,91.66,50.98,0 - 22.94
EXP-ZNO-01371,HEK293,16.07,24,9.66,7.08,2.55,89.71,7.24,60.0,0 - 27.0
EXP-ZNO-01372,A549,129.32,48,91.18,74.77,68.93,12.48,100.26,29.81,0 - 13.42
EXP-ZNO-01373,HeLa,81.14,24,61.5,61.05,52.49,27.48,65.59,45.0,0 - 20.25
EXP-ZNO-01374,NIH-3T3,118.11,24,40.18,39.85,39.34,32.15,43.07,65.0,0 - 29.25
EXP-ZNO-01375,HEK293,84.86,6,30.43,31.57,25.32,55.95,31.15,97.47,0 - 43.86
EXP-ZNO-01376,Caco-2,92.36,72,66.42,65.56,57.61,16.38,69.89,34.04,0 - 15.32
EXP-ZNO-01377,NIH-3T3,122.79,72,61.72,49.31,47.29,17.83,54.34,44.25,0 - 19.91
EXP-ZNO-01378,NIH-3T3,189.1,24,59.5,52.24,43.38,14.45,55.21,65.0,0 - 29.25
EXP-ZNO-01379,MCF-7,79.02,48,99.03,81.67,71.9,12.44,108.28,27.46,0 - 12.36
EXP-ZNO-01380,HEK293,121.93,6,40.37,31.98,31.56,42.48,39.41,97.47,0 - 43.86
EXP-ZNO-01381,CHO,10.5,24,12.77,8.69,9.63,85.82,11.15,55.0,0 - 24.75
EXP-ZNO-01382,Caco-2,115.05,12,72.9,58.33,58.46,11.13,72.71,63.73,0 - 28.68
EXP-ZNO-01383,HeLa,90.54,6,52.83,44.95,39.37,41.79,52.32,73.1,0 - 32.9
EXP-ZNO-01384,CHO,1.24,6,0.0,7.65,1.57,100.0,1.24,89.35,0 - 40.21
EXP-ZNO-01385,MCF-7,199.74,12,100.0,85.63,79.21,10.05,112.13,44.61,0 - 20.07
EXP-ZNO-01386,NIH-3T3,133.3,6,32.61,41.09,26.39,42.53,36.3,105.59,0 - 47.52
EXP-ZNO-01387,Caco-2,171.83,12,63.12,53.72,48.22,21.25,63.93,63.73,0 - 28.68
EXP-ZNO-01388,CHO,61.13,12,34.74,27.78,30.0,52.57,35.4,70.1,0 - 31.55
EXP-ZNO-01389,Jurkat,115.55,12,100.0,93.99,87.17,8.82,120.59,38.24,0 - 17.21
EXP-ZNO-01390,HEK293,45.65,48,37.34,33.68,32.55,42.57,39.2,47.08,0 - 21.18
EXP-ZNO-01391,NIH-3T3,198.03,24,51.71,45.91,45.61,19.39,51.5,65.0,0 - 29.25
EXP-ZNO-01392,HEK293,42.83,6,14.63,15.85,18.96,77.9,16.32,97.47,0 - 43.86
EXP-ZNO-01393,HeLa,86.45,6,48.24,48.69,40.95,40.99,52.6,73.1,0 - 32.9
EXP-ZNO-01394,HEK293,42.7,24,27.55,27.26,21.27,61.01,27.44,60.0,0 - 27.0
EXP-ZNO-01395,A549,140.09,48,95.93,87.26,83.2,5.0,110.71,29.81,0 - 13.42
EXP-ZNO-01396,Caco-2,37.77,48,48.5,36.09,37.47,47.37,44.7,39.23,0 - 17.65
EXP-ZNO-01397,NIH-3T3,59.75,6,15.7,17.63,16.81,75.08,16.61,105.59,0 - 47.52
EXP-ZNO-01398,HEK293,118.54,72,65.83,58.41,49.45,11.37,62.61,40.85,0 - 18.38
EXP-ZNO-01399,PC12,63.02,24,75.11,65.06,56.65,28.28,79.51,40.0,0 - 18.0
EXP-ZNO-01400,Caco-2,85.52,24,56.6,56.54,50.34,28.57,59.91,50.0,0 - 22.5
EXP-ZNO-01401,CHO,146.84,48,76.55,59.16,64.02,5.0,73.16,43.15,0 - 19.42
EXP-ZNO-01402,A549,76.81,12,59.89,58.27,55.59,37.8,72.19,48.43,0 - 21.79
EXP-ZNO-01403,PC12,180.17,72,91.49,92.59,76.59,5.0,104.85,27.23,0 - 12.25
EXP-ZNO-01404,Jurkat,7.46,24,27.47,21.88,20.68,78.15,29.64,30.0,0 - 13.5
EXP-ZNO-01405,HEK293,14.84,24,10.8,3.79,2.01,96.31,4.14,60.0,0 - 27.0
EXP-ZNO-01406,PC12,15.53,12,1.95,3.02,9.71,89.58,8.64,50.98,0 - 22.94
EXP-ZNO-01407,A549,77.99,48,82.37,70.41,62.3,22.65,90.07,29.81,0 - 13.42
EXP-ZNO-01408,PC12,130.02,6,66.17,64.32,59.18,28.07,77.88,64.98,0 - 29.24
EXP-ZNO-01409,HEK293,84.22,24,48.22,41.81,42.39,32.06,47.81,60.0,0 - 27.0
EXP-ZNO-01410,HEK293,19.58,48,16.69,14.33,17.3,74.84,17.56,47.08,0 - 21.18
EXP-ZNO-01411,NIH-3T3,113.78,6,38.11,33.26,32.71,42.96,36.83,105.59,0 - 47.52
EXP-ZNO-01412,Jurkat,91.28,72,100.0,97.64,87.02,5.0,123.76,20.42,0 - 9.19
EXP-ZNO-01413,A549,120.86,24,77.82,73.25,72.16,15.87,95.33,38.0,0 - 17.1
EXP-ZNO-01414,PC12,44.08,6,37.62,29.27,23.14,70.05,34.91,64.98,0 - 29.24
EXP-ZNO-01415,MCF-7,144.38,48,99.93,85.09,81.92,5.31,115.48,27.46,0 - 12.36
EXP-ZNO-01416,HeLa,169.29,48,77.71,68.71,59.1,11.63,78.9,35.31,0 - 15.89
EXP-ZNO-01417,HepG2,197.47,48,83.16,72.77,68.65,5.33,89.44,32.95,0 - 14.83
EXP-ZNO-01418,A549,97.9,24,74.96,66.58,65.73,23.3,87.83,38.0,0 - 17.1
EXP-ZNO-01419,MCF-7,159.55,24,93.95,82.88,80.23,10.43,110.05,35.0,0 - 15.75
EXP-ZNO-01420,PC12,155.81,6,79.26,68.35,68.72,16.11,90.11,64.98,0 - 29.24
EXP-ZNO-01421,Jurkat,101.72,6,79.07,68.31,65.84,25.97,94.84,48.74,0 - 21.93
EXP-ZNO-01422,Caco-2,192.77,12,69.2,58.7,53.23,17.91,68.09,63.73,0 - 28.68
EXP-ZNO-01423,HeLa,73.73,12,42.04,35.85,36.91,49.22,44.71,57.36,0 - 25.81
EXP-ZNO-01424,A549,131.5,72,100.0,84.47,80.95,5.0,110.78,25.87,0 - 11.64
EXP-ZNO-01425,CHO,30.57,6,14.29,9.84,13.69,88.51,10.92,89.35,0 - 40.21
EXP-ZNO-01426,HeLa,32.74,6,21.03,18.34,14.53,81.02,18.63,73.1,0 - 32.9
EXP-ZNO-01427,HepG2,39.13,24,39.46,41.01,36.52,50.11,46.69,42.0,0 - 18.9
EXP-ZNO-01428,HeLa,139.16,24,64.73,60.92,55.51,20.78,70.02,45.0,0 - 20.25
EXP-ZNO-01429,HepG2,120.33,72,75.34,72.73,60.32,11.81,83.08,28.59,0 - 12.87
EXP-ZNO-01430,PC12,86.43,6,51.96,44.38,44.79,46.1,58.33,64.98,0 - 29.24
EXP-ZNO-01431,CHO,65.07,72,61.37,46.05,47.39,23.44,58.11,37.44,0 - 16.85
EXP-ZNO-01432,NIH-3T3,20.68,24,0.0,8.02,3.49,87.6,6.34,65.0,0 - 29.25
EXP-ZNO-01433,HeLa,170.98,48,77.15,71.84,62.9,5.22,83.03,35.31,0 - 15.89
EXP-ZNO-01434,HEK293,43.04,24,25.04,27.07,12.36,65.68,23.87,60.0,0 - 27.0
EXP-ZNO-01435,HeLa,91.27,24,68.14,59.22,50.93,20.64,69.83,45.0,0 - 20.25
EXP-ZNO-01436,Caco-2,25.77,48,25.89,21.16,27.05,61.78,29.94,39.23,0 - 17.65
EXP-ZNO-01437,HeLa,67.18,12,48.28,32.08,36.02,45.71,47.02,57.36,0 - 25.81
EXP-ZNO-01438,NIH-3T3,165.81,24,58.29,47.45,49.03,13.61,55.46,65.0,0 - 29.25
EXP-ZNO-01439,NIH-3T3,181.5,6,43.97,32.12,37.09,35.42,41.17,105.59,0 - 47.52
EXP-ZNO-01440,Jurkat,14.84,12,19.64,15.94,18.07,81.51,23.76,38.24,0 - 17.21
EXP-ZNO-01441,HeLa,112.55,24,62.9,63.41,63.81,13.26,75.03,45.0,0 - 20.25
EXP-ZNO-01442,A549,2.69,48,5.75,4.03,5.96,96.58,5.23,29.81,0 - 13.42
EXP-ZNO-01443,CHO,162.72,12,62.56,53.67,49.91,20.78,60.89,70.1,0 - 31.55
EXP-ZNO-01444,A549,11.67,24,7.3,5.11,1.74,92.92,7.23,38.0,0 - 17.1
EXP-ZNO-01445,MCF-7,71.99,48,100.0,89.73,86.0,6.23,116.56,27.46,0 - 12.36
EXP-ZNO-01446,MCF-7,131.76,24,99.66,78.35,73.43,12.7,107.94,35.0,0 - 15.75
EXP-ZNO-01447,Jurkat,151.26,6,91.16,86.21,83.46,12.11,113.92,48.74,0 - 21.93
EXP-ZNO-01448,NIH-3T3,58.82,48,31.2,28.14,29.37,50.31,31.77,51.0,0 - 22.95
EXP-ZNO-01449,MCF-7,194.22,24,97.84,90.82,81.62,5.0,116.17,35.0,0 - 15.75
EXP-ZNO-01450,HeLa,34.76,12,23.52,25.95,20.92,68.94,27.26,57.36,0 - 25.81
EXP-ZNO-01451,Jurkat,5.42,48,8.45,4.82,7.31,94.49,8.14,23.54,0 - 10.59
EXP-ZNO-01452,PC12,194.88,6,78.12,78.14,70.86,14.83,92.64,64.98,0 - 29.24
EXP-ZNO-01453,NIH-3T3,127.93,6,37.8,31.91,33.11,46.45,35.27,105.59,0 - 47.52
EXP-ZNO-01454,Caco-2,110.01,48,67.59,58.5,54.17,13.72,69.88,39.23,0 - 17.65
EXP-ZNO-01455,HeLa,64.99,6,46.16,33.0,39.76,52.18,44.06,73.1,0 - 32.9
EXP-ZNO-01456,HEK293,190.74,6,56.4,41.85,44.01,28.46,50.94,97.47,0 - 43.86
EXP-ZNO-01457,MCF-7,131.92,12,81.68,69.88,65.87,21.81,94.74,44.61,0 - 20.07
EXP-ZNO-01458,HEK293,55.51,72,51.3,46.32,34.23,34.06,47.02,40.85,0 - 18.38
EXP-ZNO-01459,HepG2,76.62,24,65.6,54.54,53.4,31.1,66.95,42.0,0 - 18.9
EXP-ZNO-01460,CHO,71.59,48,49.32,43.4,43.67,33.87,50.39,43.15,0 - 19.42
EXP-ZNO-01461,A549,193.79,12,82.44,70.66,68.28,17.11,94.53,48.43,0 - 21.79
EXP-ZNO-01462,HEK293,60.63,12,26.46,28.83,28.2,59.65,28.92,76.47,0 - 34.41
EXP-ZNO-01463,HepG2,160.53,24,80.68,68.29,68.04,9.4,85.98,42.0,0 - 18.9
EXP-ZNO-01464,HEK293,191.78,12,55.05,49.25,49.43,17.55,56.98,76.47,0 - 34.41
EXP-ZNO-01465,Caco-2,34.72,48,36.64,26.43,29.44,57.63,35.05,39.23,0 - 17.65
EXP-ZNO-01466,MCF-7,130.93,72,94.67,89.03,82.95,5.35,115.07,23.83,0 - 10.72
EXP-ZNO-01467,Jurkat,184.95,6,90.78,82.51,77.22,14.91,110.06,48.74,0 - 21.93
EXP-ZNO-01468,HepG2,128.74,48,86.03,69.55,69.3,8.38,88.04,32.95,0 - 14.83
EXP-ZNO-01469,HeLa,160.95,72,80.73,68.56,71.85,5.62,84.4,30.64,0 - 13.79
EXP-ZNO-01470,A549,168.42,72,92.03,82.59,83.12,6.4,108.08,25.87,0 - 11.64
EXP-ZNO-01471,NIH-3T3,37.77,48,27.74,25.62,18.99,56.15,27.33,51.0,0 - 22.95
EXP-ZNO-01472,Jurkat,164.4,48,100.0,89.53,89.99,5.41,122.49,23.54,0 - 10.59
EXP-ZNO-01473,HeLa,111.33,48,70.33,63.76,56.57,18.29,72.97,35.31,0 - 15.89
EXP-ZNO-01474,HEK293,43.71,12,23.83,17.3,13.75,72.72,19.6,76.47,0 - 34.41
EXP-ZNO-01475,HEK293,133.18,6,43.29,36.92,35.36,41.83,41.3,97.47,0 - 43.86
EXP-ZNO-01476,CHO,55.88,24,44.68,40.82,33.99,43.89,43.39,55.0,0 - 24.75
EXP-ZNO-01477,NIH-3T3,29.56,12,18.4,6.31,6.55,84.33,10.76,82.85,0 - 37.28
EXP-ZNO-01478,HeLa,106.08,6,53.95,58.28,45.01,31.6,60.48,73.1,0 - 32.9
EXP-ZNO-01479,HeLa,101.78,24,64.03,59.8,55.26,18.56,70.78,45.0,0 - 20.25
EXP-ZNO-01480,HepG2,137.12,24,69.97,66.34,62.84,15.59,79.35,42.0,0 - 18.9
EXP-ZNO-01481,MCF-7,27.96,6,25.17,24.01,18.78,76.9,28.75,56.86,0 - 25.59
EXP-ZNO-01482,Jurkat,89.73,12,85.48,78.91,69.72,24.75,100.12,38.24,0 - 17.21
EXP-ZNO-01483,MCF-7,189.01,12,94.17,80.63,76.3,12.05,107.94,44.61,0 - 20.07
EXP-ZNO-01484,CHO,19.02,12,11.73,14.41,9.78,85.12,12.07,70.1,0 - 31.55
EXP-ZNO-01485,HepG2,108.44,48,67.97,64.11,60.41,17.82,77.03,32.95,0 - 14.83
EXP-ZNO-01486,CHO,39.93,24,23.83,27.62,21.8,68.58,25.1,55.0,0 - 24.75
EXP-ZNO-01487,Jurkat,114.5,24,100.0,90.34,83.38,5.0,121.63,30.0,0 - 13.5
EXP-ZNO-01488,HepG2,62.59,72,63.76,61.54,50.83,28.7,68.52,28.59,0 - 12.87
EXP-ZNO-01489,CHO,184.29,72,69.44,62.74,59.69,6.29,71.2,37.44,0 - 16.85
EXP-ZNO-01490,MCF-7,86.43,6,68.7,62.72,55.38,35.36,79.72,56.86,0 - 25.59
EXP-ZNO-01491,HEK293,4.56,6,0.0,0.0,0.0,95.77,1.8,97.47,0 - 43.86
EXP-ZNO-01492,CHO,147.64,72,74.04,57.96,57.5,15.6,66.89,37.44,0 - 16.85
EXP-ZNO-01493,HeLa,113.65,12,61.85,61.97,46.97,24.98,66.22,57.36,0 - 25.81
EXP-ZNO-01494,HEK293,37.44,48,34.44,28.21,25.5,54.73,31.94,47.08,0 - 21.18
